Isomer,De
(H2S)2 t-1H,-2.119
(H2S)2 t-1C,-2.035
(H2S)2 c-1H,-2.038
(H2S)3 R-3H (ttc),-6.567
(H2S)3 R-3H (ccc),-6.453
"(H2S)3 O-1H1C (ta, ta)",-4.142
"(H2S)3 O-2C (td, td)",-3.974
"(H2S)3 O-2H (ta, ta)",-3.996
"(H2S)3 O-2H (ta, ca)",-3.920
(H2S)4 P-6H,-10.765
(H2S)4 P-5H1C,-10.618
(H2S)4 P-3H3C,-10.364
(H2S)4 B-4H2C,-10.470
(H2S)4 F-5H (I),-10.209
(H2S)4 P-4H2C,-10.181
(H2S)4 P-5H,-10.261
(H2S)4 F-5H (II),-10.007
(H2S)4 F-5H (III),-9.991
(H2S)4 R-4H (tttt),-10.128
(H2S)4 R-4H (tctc),-10.050
(H2S)4 F-5H (IV),-9.547
(H2S)4 F-2H3C,-8.985
(H2Se)2 t-1C,-2.260
"(H2Se)2 2C (da, da)",-2.206
(H2Se)2 t-1H,-2.013
(H2Se)2 c-1H,-2.001
(H2Se)3 R-3H (ttc),-6.309
(H2Se)3 R-3H (ccc),-6.296
(H2Se)3 R-2H1C (ctt),-6.210
(H2Se)3 R-2H1C (tct),-6.203
(H2Se)3 R-2H1C (ttc),-6.145
(H2Se)3 R-2H1C (ccc),-6.103
(H2Se)3 R-1H2C (ctt),-6.210
(H2Se)3 R-1H2C (tct),-6.086
(H2Se)3 R-1H2C (ttc),-6.142
(H2Se)3 R-1H2C (ccc),-6.076
(H2Se)3 R-3C (ttc),-6.169
(H2Se)3 R-3C (ccc),-6.168
"(H2Se)3 O-2C (ta, ta)",-4.817
"(H2Se)3 O-2C (td, td)",-4.413
"(H2Se)3 O-1H1C (ta, ta)",-4.233
"(H2Se)3 O-2H (ta, ta)",-3.851
"(H2Se)3 O-2C (ta, ca)",-3.820
(H2Se)4 B-4H2C,-11.136
(H2Se)4 B-2H3C (I),-10.668
(H2Se)4 B-1H4C,-10.614
(H2Se)4 B-4H1C,-10.613
(H2Se)4 B-3H2C,-10.373
(H2Se)4 B-4C,-10.173
(H2Se)4 B-2H3C (II),-10.068
(H2Se)4 P-2H4C,-10.812
(H2Se)4 P-5H1C (I),-10.910
(H2Se)4 P-6H,-10.757
(H2Se)4 P-5H1C (II),-10.615
(H2Se)4 P-4H2C,-10.872
(H2Se)4 F-2H3C (I),-9.893
(H2Se)4 F-2H3C (II),-9.745
(H2Se)4 F-4H1C,-9.671
(H2Se)4 R-4H,-9.492
(H2Se)4 R-4C,-9.283
(H2Te)2 t-1C,-3.247
(H2Te)2 c-1C,-3.237
"(H2Te)2 2C (da, da)",-3.231
(H2Te)2 vdW,-1.718
(H2Te)2 t-1H,-1.704
(H2Te)3 R-3H (ttc),-5.452
(H2Te)3 R-3H (ccc),-5.561
(H2Te)3 R-2H1C (ctt),-6.859
(H2Te)3 R-2H1C (tct),-6.841
(H2Te)3 R-2H1C (ttc),-6.800
(H2Te)3 R-2H1C (ccc),-6.843
(H2Te)3 R-1H2C (ctt),-8.267
(H2Te)3 R-1H2C (tct),-8.201
(H2Te)3 R-1H2C (ttc),-8.267
(H2Te)3 R-1H2C (ccc),-8.157
(H2Te)3 R-3C (ttc),-9.763
(H2Te)3 R-3C (ccc),-9.732
"(H2Te)3 O-2C (ta, ta)",-6.436
"(H2Te)3 O-2C (ta, ca)",-6.407
"(H2Te)3 O-2C (ta, ca)",-6.385
"(H2Te)3 O-2C (td, td)",-6.414
"(H2Te)3 O-2C (td, cd)",-6.393
"(H2Te)3 O-2C (td, cd)",-6.350
(H2Te)4 B-1H4C (I),-15.699
(H2Te)4 B-4C (I),-16.116
(H2Te)4 B-4C (II),-15.769
(H2Te)4 B-1H4C (II),-14.848
(H2Te)4 B-1H4C (III),-15.138
(H2Te)4 B-2H3C (I),-14.088
(H2Te)4 B-1H3C (I),-14.000
(H2Te)4 B-1H3C (II),-14.281
(H2Te)4 B-2H3C (II),-13.629
(H2Te)4 B-2H2C (I),-15.183
(H2Te)4 B_2H2C (II),-12.726
(H2Te)4 B-4H2C,-12.602
(H2Te)4 B-4H1C,-11.042
(H2Te)4 P-2H4C,-14.860
(H2Te)4 P-3H3C,-13.805
(H2Te)4 R-4C,-14.666
(H2Te)4 F-2H3C,-12.912
