(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
28.78,45.96,32.18,-25.68,38.58,43.00,43.27,36.12,35.94,-58.54,30.91,-17.57
68.23,57.17,69.61,41.16,78.49,53.84,51.79,69.36,74.72,33.53,100.06,30.37
80.01,74.98,89.89,88.93,79.31,78.63,68.00,127.68,104.84,93.92,100.10,54.04
85.28,81.72,92.94,107.43,113.39,81.15,73.57,131.67,118.89,122.83,146.84,69.15
166.96,114.72,169.63,130.17,118.99,147.08,147.71,174.64,164.95,133.93,146.86,116.92
281.26,205.22,283.03,194.75,218.99,250.00,249.76,246.03,250.86,229.41,149.00,180.58
1210.77,1203.92,1211.25,1055.86,1056.07,1060.74,1060.29,886.39,885.62,886.59,892.92,890.78
1216.40,1212.23,1217.98,1060.73,1059.70,1065.32,1066.52,892.02,890.53,890.46,895.96,891.84
2633.84,2683.35,2634.58,2396.26,2403.68,2356.40,2355.33,2088.54,2089.91,2111.17,2124.16,2077.25
2685.13,2686.46,2685.07,2411.22,2404.23,2409.28,2409.54,2128.24,2126.75,2111.19,2130.99,2126.84
2693.27,2698.83,2693.07,2423.12,2424.08,2415.82,2414.73,2134.49,2133.01,2135.15,2134.24,2128.31
2697.85,2706.16,2697.86,2430.18,2424.51,2421.27,2421.59,2138.44,2139.23,2137.19,2134.35,2133.16
