(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
-8.61,-42.76,61.26,24.44,41.31,42.21,42.93,41.16,40.72,-68.10,39.10,-109.69
70.13,64.48,71.38,45.63,90.02,65.93,64.48,84.69,115.69,44.81,125.25,-66.01
88.45,79.12,87.35,122.72,92.65,95.88,92.87,171.93,156.83,118.63,125.31,33.47
88.98,87.63,90.00,128.83,132.20,106.41,103.75,185.74,168.70,146.82,201.92,74.33
169.91,121.80,168.12,154.57,133.20,163.32,163.63,224.76,212.20,152.33,201.93,111.38
291.04,205.11,294.82,214.79,234.24,258.75,259.81,288.18,295.69,253.96,215.09,203.46
1205.73,1199.56,1206.32,1053.19,1051.88,1057.99,1058.00,879.23,885.39,882.74,880.05,882.61
1211.80,1208.48,1213.45,1057.27,1056.30,1060.82,1061.70,885.51,888.88,887.79,897.39,891.34
2617.71,2672.88,2618.82,2402.64,2413.12,2357.20,2356.41,2102.84,2107.29,2112.00,2145.83,2081.53
2675.26,2675.71,2673.50,2422.23,2413.69,2420.41,2420.50,2150.45,2152.89,2112.51,2155.47,2139.60
2684.71,2689.85,2684.04,2435.10,2435.30,2427.41,2425.52,2155.97,2158.56,2168.13,2157.50,2151.45
2689.80,2697.12,2688.01,2441.82,2435.77,2433.26,2433.40,2171.88,2173.52,2170.76,2157.61,2152.83
