(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
67.14,63.21,-50.85,-24.67,39.35,39.20,39.64,36.85,-125.67,-8.06,30.03,25.94
105.16,66.48,12.99,42.60,68.89,52.65,58.03,88.26,-125.10,35.39,150.91,88.86
108.68,97.23,48.50,123.41,78.32,95.49,101.64,154.74,37.06,133.28,150.98,100.17
127.22,114.44,68.78,124.11,156.03,126.48,140.85,180.75,62.58,151.22,204.24,134.21
183.86,160.04,140.43,177.26,161.91,196.63,203.83,216.12,178.92,173.42,204.26,194.82
285.18,212.20,258.03,211.65,249.70,232.44,240.09,274.62,257.21,256.65,213.28,201.86
1222.19,1212.10,1218.28,1069.84,1071.79,1078.57,1080.41,898.64,894.10,899.85,906.65,906.32
1224.51,1221.39,1224.33,1078.25,1076.02,1082.75,1083.43,906.97,900.76,903.90,909.84,909.92
2687.23,2724.92,2688.15,2417.02,2430.52,2395.53,2396.28,2071.55,2065.00,2089.20,2101.15,2083.03
2730.89,2728.95,2730.28,2438.01,2431.37,2438.82,2438.91,2109.98,2120.46,2089.89,2108.68,2112.51
2739.02,2743.33,2739.32,2450.41,2450.17,2443.01,2439.81,2116.56,2122.57,2119.84,2112.01,2118.89
2745.86,2751.36,2745.42,2454.91,2450.38,2451.23,2451.36,2124.86,2128.47,2122.10,2112.04,2119.78
