(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
22.23,-35.34,37.70,24.97,40.39,45.71,45.99,36.89,36.72,-82.36,31.51,-62.69
71.21,62.22,72.50,42.01,71.38,66.04,60.63,60.27,60.58,34.69,104.51,-47.15
80.69,63.45,99.25,94.90,110.39,100.18,100.27,128.60,107.66,90.53,104.56,19.51
88.67,71.27,101.74,114.64,126.88,104.56,100.84,134.00,121.51,126.20,157.97,34.54
175.16,106.71,181.46,139.73,130.44,166.37,169.28,178.25,166.48,147.18,157.98,124.65
294.29,199.96,296.67,202.44,220.83,270.37,268.73,251.01,254.20,232.78,158.46,201.15
1178.71,1171.38,1179.64,1024.53,1027.27,1030.60,1030.51,854.21,853.21,853.50,862.49,859.25
1184.13,1180.44,1185.68,1029.93,1031.25,1033.97,1035.38,862.20,860.43,857.17,866.10,864.54
2524.41,2592.04,2525.24,2299.47,2310.41,2240.13,2238.67,1994.76,1996.59,2021.50,2042.11,1958.39
2597.81,2599.90,2597.45,2322.50,2310.62,2319.33,2319.83,2047.32,2045.44,2022.98,2050.08,2046.31
2605.96,2613.36,2605.68,2336.16,2333.91,2327.80,2326.19,2054.86,2053.00,2054.95,2054.32,2046.98
2611.65,2620.87,2611.40,2342.73,2334.34,2333.03,2333.56,2057.33,2058.83,2057.21,2054.37,2054.21
