(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
36.85,39.77,23.57,-41.41,33.28,29.82,39.69,31.80,31.76,-30.28,27.83,25.77
64.67,51.24,65.71,35.76,54.26,36.01,66.64,80.63,84.70,29.19,103.23,27.18
78.34,76.63,76.13,75.86,81.13,45.60,86.05,126.75,113.87,84.38,103.29,67.43
81.78,79.54,81.53,76.43,102.14,48.03,105.39,130.10,125.39,114.80,138.38,90.92
159.06,114.26,155.27,101.06,118.29,122.99,150.74,164.93,162.73,118.71,138.41,125.34
269.36,202.40,269.18,179.23,207.36,229.10,236.32,231.97,236.98,215.26,145.39,163.81
1220.40,1214.37,1220.28,1067.55,1069.97,1072.72,1075.59,905.62,905.63,904.99,910.74,907.55
1226.33,1221.96,1227.77,1074.13,1072.64,1078.38,1079.33,909.01,908.65,908.72,912.34,909.68
2695.41,2731.24,2696.25,2458.09,2462.69,2433.79,2434.04,2160.74,2161.37,2175.38,2182.39,2165.43
2731.05,2732.08,2731.33,2465.89,2463.45,2464.77,2465.20,2186.13,2184.95,2176.29,2187.83,2184.46
2739.25,2742.45,2738.97,2476.20,2478.60,2471.34,2470.10,2190.91,2189.74,2191.55,2189.96,2186.43
2742.42,2749.37,2742.79,2483.59,2479.05,2475.26,2475.48,2195.43,2195.77,2193.31,2190.21,2189.22
