(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
-128.91,82.02,-219.10,48.21,50.93,-153.88,-106.58,-104.08,43.09,-177.95,-229.63,23.44
64.03,128.00,-80.34,63.29,100.19,-73.72,36.87,43.01,133.37,-154.61,-229.63,128.90
112.86,183.00,63.87,85.91,141.80,36.86,62.03,118.67,169.44,43.14,-184.86,167.00
227.64,208.35,83.61,142.55,178.09,65.25,96.83,189.55,178.17,48.08,35.57,190.07
247.94,221.68,136.27,210.03,182.32,158.04,184.08,224.78,228.53,165.99,107.52,197.80
326.38,343.95,324.73,229.47,279.46,185.71,219.65,230.80,274.28,240.10,107.76,212.74
1216.16,1210.00,1212.74,1056.72,1056.24,1049.13,1049.89,902.03,899.74,883.99,880.24,903.67
1219.92,1220.12,1218.55,1066.65,1059.44,1068.73,1074.79,904.13,902.92,898.22,883.41,911.84
2717.82,2731.23,2716.06,2483.70,2490.05,2462.45,2456.10,2143.77,2155.88,2153.38,2168.59,2167.21
2746.35,2742.74,2741.54,2487.84,2490.31,2476.31,2479.26,2180.43,2185.46,2173.21,2173.98,2184.98
2753.32,2750.39,2743.98,2495.38,2506.69,2490.23,2488.09,2187.26,2186.19,2175.04,2174.23,2185.12
2763.40,2765.77,2755.43,2513.02,2507.29,2497.46,2492.22,2188.06,2195.01,2193.44,2174.23,2186.10
