(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
-90.46,-274.87,79.51,-83.54,37.94,43.69,43.77,41.44,42.27,-36.71,34.64,-160.20
-35.69,67.97,132.85,53.67,38.99,103.98,103.40,123.03,142.40,41.55,42.48,-117.52
81.31,83.02,137.02,162.03,80.62,157.66,151.93,135.31,149.07,67.02,42.55,-48.64
106.28,125.32,185.54,171.79,149.58,161.58,161.12,171.57,182.46,167.36,168.49,31.82
152.06,160.45,219.77,174.08,156.17,189.07,190.89,208.76,259.83,205.47,168.55,136.43
313.38,178.68,342.80,250.44,249.16,295.22,286.48,343.59,336.13,267.56,195.56,148.91
1214.76,1214.09,1219.52,1073.76,1070.11,1079.70,1079.75,887.24,887.94,894.36,886.58,891.34
1219.72,1223.16,1225.06,1075.54,1073.97,1086.66,1086.65,902.23,916.81,897.55,891.70,909.13
2668.50,2726.05,2660.54,2436.68,2442.15,2390.65,2393.34,2092.35,2094.53,2092.75,2118.46,2067.71
2737.29,2739.20,2740.61,2445.90,2442.71,2447.09,2450.00,2122.98,2128.49,2115.10,2124.76,2125.33
2747.27,2750.80,2752.32,2458.73,2467.95,2461.11,2461.25,2127.65,2133.03,2130.18,2127.24,2126.02
2756.24,2752.55,2753.44,2459.39,2468.36,2474.23,2474.39,2142.02,2143.69,2135.90,2127.26,2144.47
