(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
56.49,69.23,57.42,43.02,29.83,-136.30,-98.08,37.06,36.28,36.65,-193.02,-137.50
83.22,144.97,102.08,88.33,81.59,-49.99,-19.58,103.30,58.35,150.31,-192.98,26.51
89.48,202.39,128.16,124.18,107.94,37.53,38.55,152.81,166.09,155.00,-103.18,73.53
161.89,262.22,230.85,158.26,150.10,133.90,87.02,189.07,199.21,179.29,-81.81,97.27
229.14,284.19,248.18,177.66,165.87,162.27,101.91,209.31,223.27,179.52,-81.37,113.68
365.27,379.27,349.47,217.32,223.51,225.29,207.78,249.18,267.38,253.43,35.99,159.89
1197.63,1193.62,1194.07,1034.04,1037.68,1038.19,1036.03,891.31,892.16,898.49,865.85,898.76
1199.87,1205.90,1197.22,1041.33,1039.00,1045.93,1039.50,892.91,894.74,901.85,871.30,900.56
2692.75,2721.29,2688.81,2442.17,2447.46,2425.59,2423.37,2181.65,2180.85,2201.86,2213.24,2188.35
2721.25,2723.95,2723.40,2451.32,2447.76,2457.72,2445.71,2185.49,2184.73,2203.07,2217.63,2207.43
2730.89,2731.79,2732.31,2460.27,2457.89,2466.07,2457.85,2198.21,2199.90,2216.13,2218.97,2211.98
2731.86,2739.54,2735.68,2471.46,2458.54,2468.16,2464.29,2225.50,2217.32,2217.37,2219.48,2216.70
