(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
19.17,35.83,60.82,26.77,-110.94,35.54,-8.56,33.85,32.34,17.37,44.75,-51.99
61.88,72.88,80.98,35.30,-78.84,52.64,34.92,83.49,79.58,35.57,124.44,24.05
96.77,164.32,87.55,139.78,32.97,75.12,50.07,131.18,95.82,111.22,124.44,35.85
102.26,174.56,96.53,146.12,61.20,77.85,56.09,138.59,105.98,128.43,187.30,53.79
163.64,221.04,151.83,185.23,84.74,129.71,127.70,189.24,163.80,146.07,297.98,88.34
280.51,227.13,282.99,196.73,181.07,224.28,221.01,241.93,232.62,227.80,298.01,145.94
1212.50,1217.91,1213.20,1066.25,1056.27,1064.01,1062.86,893.72,889.03,889.88,899.73,892.41
1219.93,1228.31,1219.99,1070.31,1058.13,1067.44,1068.59,896.14,893.68,893.59,930.57,893.53
2692.20,2727.75,2693.73,2450.67,2454.56,2418.74,2417.75,2138.67,2138.37,2156.17,2167.12,2138.17
2731.38,2731.98,2730.90,2455.55,2455.05,2456.53,2456.61,2172.35,2171.37,2156.42,2176.45,2168.99
2740.71,2740.72,2740.82,2467.05,2469.76,2463.65,2462.41,2178.25,2177.24,2176.17,2180.91,2170.67
2744.47,2750.73,2743.92,2475.10,2470.25,2468.34,2468.49,2179.48,2179.32,2177.96,2181.05,2174.86
