(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
26.95,64.02,-68.18,-81.97,18.31,40.52,40.67,24.33,32.91,-24.99,29.11,-71.69
66.23,83.32,62.22,38.64,32.28,57.76,65.01,33.36,88.84,32.15,102.82,-16.17
97.81,118.80,76.85,92.47,99.08,97.95,102.85,109.67,118.12,102.75,102.89,26.58
121.73,133.05,92.82,101.33,107.70,129.42,127.12,114.45,131.53,144.83,163.38,60.03
181.60,139.69,171.06,141.33,108.01,174.33,173.18,170.34,189.36,152.63,168.44,109.23
289.02,234.53,286.91,184.31,207.08,258.27,258.30,234.94,251.69,241.64,168.46,173.91
1200.99,1193.98,1200.17,1051.02,1055.11,1060.71,1062.48,885.76,888.79,886.38,890.13,888.02
1204.17,1201.22,1206.06,1055.31,1057.76,1064.49,1064.51,887.45,891.75,890.78,894.84,891.34
2631.11,2696.54,2625.36,2421.61,2429.78,2355.50,2355.06,2101.41,2098.08,2119.93,2134.39,2071.90
2707.28,2699.01,2703.54,2435.23,2430.10,2432.56,2432.55,2143.18,2139.84,2120.73,2139.76,2142.67
2711.11,2713.16,2716.88,2447.86,2448.33,2440.55,2439.73,2149.65,2146.63,2149.77,2144.29,2144.98
2724.46,2727.79,2726.63,2455.15,2448.75,2444.86,2444.92,2157.42,2150.94,2151.88,2144.32,2151.99
