(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
26.63,1.89,52.45,-23.77,35.13,44.51,44.76,34.53,34.31,-49.92,27.90,-67.07
65.81,50.60,68.74,37.43,69.36,72.75,64.32,64.78,88.89,31.62,106.46,-45.25
71.82,76.60,101.11,80.60,94.09,112.10,113.21,137.18,130.26,101.04,106.47,31.60
83.33,100.51,103.97,89.39,111.86,123.73,121.08,144.23,138.30,142.42,168.61,44.36
182.18,121.43,185.91,129.60,112.07,179.48,181.93,186.50,179.29,159.25,168.61,132.69
309.32,202.93,310.77,191.93,209.97,280.83,279.90,258.12,258.20,247.30,169.89,217.80
1167.17,1159.43,1168.28,1018.70,1020.07,1025.91,1026.11,850.46,851.97,850.99,858.25,853.51
1174.38,1172.00,1175.43,1024.97,1023.76,1028.30,1029.51,859.07,858.78,855.01,860.54,860.47
2542.20,2624.49,2543.50,2333.53,2341.45,2256.57,2254.85,2015.88,2018.21,2043.16,2065.37,1965.35
2627.63,2628.28,2627.53,2352.09,2341.69,2347.16,2347.67,2071.39,2070.44,2044.81,2071.74,2069.83
2637.44,2643.25,2637.08,2366.32,2365.57,2358.05,2356.26,2079.35,2078.40,2077.80,2077.22,2070.56
2643.09,2650.20,2642.97,2372.79,2366.08,2361.42,2361.96,2080.06,2079.32,2080.21,2077.24,2078.01
