(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
-17.43,-40.33,57.79,-36.32,37.92,42.38,42.60,40.93,40.55,-37.77,31.09,20.39
63.50,57.96,65.17,38.86,66.30,62.71,53.91,59.14,69.71,37.50,89.06,31.06
81.15,71.87,91.61,59.45,69.71,92.13,87.84,128.35,87.56,77.40,89.08,66.88
82.69,83.28,94.66,84.43,106.62,102.10,91.44,128.72,110.36,138.47,160.49,96.95
168.05,110.67,170.89,133.48,117.57,161.24,159.01,194.07,187.67,139.65,171.49,137.50
290.13,203.25,292.39,199.31,216.83,258.81,258.91,265.21,271.54,255.16,171.53,198.16
1206.04,1199.75,1207.12,1055.96,1054.43,1061.82,1061.32,888.55,887.78,887.94,894.20,892.21
1212.41,1208.84,1214.14,1060.38,1057.94,1065.03,1066.31,893.73,891.85,892.89,898.95,893.77
2668.80,2722.30,2669.98,2434.68,2442.74,2388.53,2387.14,2109.64,2111.34,2138.65,2155.13,2098.98
2723.20,2723.99,2723.08,2449.91,2443.33,2446.97,2447.28,2160.18,2159.04,2138.78,2161.42,2157.70
2732.61,2737.97,2732.67,2462.47,2462.96,2454.47,2453.32,2166.51,2165.34,2168.75,2165.47,2161.16
2737.54,2744.92,2737.39,2469.33,2463.49,2459.44,2459.84,2170.71,2170.85,2171.16,2165.59,2164.04
