(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
69.98,-12.79,68.51,35.47,13.92,-28.69,-33.64,38.55,38.21,24.63,25.41,31.54
72.00,51.39,84.79,59.96,30.82,43.41,44.05,60.20,52.27,34.49,100.55,45.61
105.55,86.78,93.06,103.38,74.74,57.95,73.59,135.31,97.54,73.71,101.16,87.00
110.34,93.54,106.10,111.25,109.62,59.84,74.92,136.73,121.27,139.05,153.49,105.65
188.85,123.89,180.31,133.30,114.03,152.68,160.85,196.41,185.28,145.09,163.63,141.19
321.09,208.22,315.37,208.29,213.20,264.36,266.62,263.31,266.34,269.36,163.74,211.33
1215.25,1209.70,1215.68,1059.41,1059.59,1062.78,1063.51,887.28,886.32,887.42,896.65,893.11
1222.47,1215.19,1222.76,1065.39,1063.19,1068.73,1070.23,896.24,893.56,892.05,898.00,894.31
2623.87,2697.18,2624.70,2417.48,2426.18,2350.16,2349.43,2091.74,2093.21,2125.82,2138.70,2064.29
2699.31,2699.38,2699.50,2433.09,2426.63,2432.90,2432.47,2145.84,2147.02,2126.45,2143.02,2146.92
2708.38,2712.62,2707.65,2445.47,2447.02,2438.28,2437.15,2152.59,2153.57,2156.17,2148.33,2148.14
2712.85,2720.40,2712.93,2452.84,2447.52,2445.30,2444.91,2157.00,2156.38,2158.36,2148.39,2153.57
