(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
-30.02,57.47,61.43,-89.19,35.84,36.46,36.81,35.91,-101.58,-41.38,28.74,-103.10
9.64,59.06,62.64,40.45,64.08,81.32,70.46,99.12,-99.44,32.82,110.56,-64.45
60.51,80.71,89.66,60.28,86.64,82.70,78.85,133.09,36.16,106.73,111.60,-55.38
76.14,99.39,95.01,91.25,108.10,106.38,106.31,138.21,62.39,134.76,157.83,24.51
141.55,126.13,153.29,119.13,126.27,146.43,147.13,176.81,187.21,145.45,158.42,54.24
250.88,210.61,258.35,174.75,220.18,223.22,221.76,252.63,243.49,229.68,170.07,120.46
1207.91,1203.72,1209.07,1058.36,1058.76,1065.09,1065.29,897.30,888.94,896.40,899.95,894.87
1212.67,1209.59,1214.77,1062.75,1061.66,1067.29,1067.27,899.11,902.90,900.86,903.17,899.02
2699.04,2726.95,2699.34,2465.88,2471.64,2450.10,2448.98,2176.05,2176.35,2191.54,2197.65,2185.09
2728.36,2729.55,2727.50,2473.91,2472.46,2476.04,2475.98,2203.91,2200.76,2192.68,2202.30,2200.75
2737.32,2738.40,2736.66,2483.85,2488.83,2482.50,2479.49,2207.73,2204.76,2206.37,2203.92,2202.09
2740.32,2746.21,2739.10,2491.02,2489.23,2485.88,2485.84,2212.49,2211.57,2208.26,2204.30,2204.83
