(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
-49.92,56.05,41.65,-78.29,29.14,42.05,42.31,32.05,28.21,-97.37,43.51,-166.01
53.46,105.06,59.30,33.75,55.35,74.61,82.42,103.91,112.44,24.56,113.47,-84.71
65.48,126.48,81.92,78.35,117.56,86.45,85.42,114.66,157.91,97.20,113.49,27.58
83.24,127.04,96.30,81.96,137.95,103.15,108.71,151.91,185.58,130.05,142.39,96.41
154.28,194.58,155.83,122.16,172.23,146.43,150.46,218.19,187.26,170.58,331.50,192.24
265.17,222.12,263.01,173.63,210.06,229.58,229.81,230.94,244.66,218.46,331.56,201.76
1218.12,1219.20,1217.95,1061.55,1072.15,1069.90,1070.77,916.02,899.77,906.17,941.03,907.75
1222.65,1227.82,1222.61,1066.89,1072.46,1072.15,1072.61,928.31,925.10,909.44,951.62,923.55
2698.06,2748.18,2698.39,2461.39,2471.40,2436.41,2436.55,2184.08,2154.42,2183.08,2215.37,2170.57
2746.29,2748.63,2743.10,2469.06,2471.63,2471.19,2471.31,2215.40,2203.94,2184.06,2222.44,2183.34
2759.51,2760.91,2754.01,2479.48,2483.84,2476.32,2474.04,2216.88,2227.73,2206.53,2224.55,2188.03
2761.87,2764.38,2755.75,2484.58,2484.67,2481.60,2481.72,2220.14,2231.41,2208.24,2224.83,2211.33
