(H2S)2 t-1H,(H2S)2 t-1C,(H2S)2 c-1H,(H2Se)2 t-1C,"(H2Se)2 2C (da, da)",(H2Se)2 t-1H,(H2Se)2 c-1H,(H2Te)2 t-1C,(H2Te)2 c-1C,"(H2Te)2 2C (da, da)",(H2Te)2 vdW,(H2Te)2 t-1H
32.03,-16.85,54.83,-38.72,32.80,35.49,35.77,34.21,34.05,-24.54,25.25,23.01
57.94,58.18,60.98,38.31,48.37,56.55,47.52,77.62,77.64,22.69,98.97,29.08
73.60,77.94,79.29,79.89,85.62,68.43,62.18,125.59,109.66,39.77,99.90,60.20
81.02,78.57,81.27,89.91,104.98,79.07,70.65,127.25,127.05,107.29,142.96,84.90
149.81,118.48,148.07,113.77,120.08,131.42,125.04,172.75,178.96,116.59,143.95,118.50
258.62,201.03,258.19,180.64,209.47,214.95,215.24,237.41,242.69,225.71,149.39,154.72
1220.35,1214.99,1220.55,1072.39,1073.71,1078.17,1077.88,912.46,912.21,909.75,916.32,912.86
1225.20,1221.79,1227.04,1075.87,1076.25,1080.72,1081.43,915.13,915.60,913.96,916.60,914.69
2732.48,2759.06,2733.40,2488.84,2491.69,2470.45,2470.07,2184.83,2185.44,2199.69,2204.66,2199.23
2760.91,2762.46,2761.03,2493.29,2492.60,2493.43,2493.31,2211.09,2209.45,2201.06,2208.90,2209.37
2769.28,2770.72,2769.20,2503.18,2505.93,2500.58,2498.40,2215.14,2213.54,2218.31,2210.94,2212.96
2772.71,2778.03,2772.92,2510.64,2506.41,2503.51,2503.45,2219.11,2218.82,2220.05,2211.27,2213.36
